//OLD COLOR
//Acidobacteria	#c5a583
//Actinobacteria	#89955f
//Archaea	#bcf5a9
//Bacteria	#819ff7
//Chlamydiae	#a6ffe2
//Chloroflexi	#bfbbd9
//Cholorobi	#955f5f
//Cyanobacteria	#81f7f3
//Fibrobacteres	#81b1d2
//Firmicutes	#ebe891
//Nitrospirae	#b3de69
//Planctomycetes	#ac58fa
//Proteobacteria	#f78181
//Thermodesulfobacteria	#bc82bd

//NEW COLOR LIGHTER
//Acidobacteria	#ffe4b3
Acidobacteria	#00a3bc
Actinobacteria	#4bbcb7
Aquificae	#a9ff5b
Armatimonadetes	#02eeec
Bacteroidetes	#c7e000
Caldiserica	#7cff96
Chlamydiae	#a7b262
Chlorobi	#b8fb0b
Chloroflexi	#69bf4a
Cyanobacteria	#93ffeb
//Deferribacteres	#e19b77
Deferribacteres	#724200
//Deinococcus-Thermus	#20cb02
Deinococcus-Thermus	#ab0099
Dictyoglomi	#a7e4ff
Firmicutes	#fff553
Fusobacteria	#01e781
Nitrospirae	#e0b7fb
//Nitrospirae	#fdbf6f
Planctomycetes	#d2ff74
//Proteobacteria	#ff8993
Proteobacteria	#f70029
Spirochaetes	#b3b11e
Synergistetes	#d2fffd
Tenericutes	#a7aac4
Thermodesulfobacteria	#d2d4ff
Verrucomicrobia	#93b83c
Archaea	#fa9229
Euryarchaeota	#ffaf68
Crenarchaeota	#ea994c
Thaumarchaeota	#ffc56a
